"id","group","x1","y"
1," control ",69.06,41.6
2," control ",71.32,16.72
3," control ",52.31,9.2
4," treatment ",58.97,21.26
5," control ",32.61,26.62
6," control ",54.69,34.03
7," control ",44.56,16.08
8," treatment ",48.35,27.71
9," treatment ",55.52,35.2
10," treatment ",60.33,36.01
11," control ",49.54,29.07
12," control ",76.39,37.13
13," treatment ",55.89,32.97
14," treatment ",47.98,15.67
15," treatment ",54.42,46.68
16," treatment ",49,26.12
17," control ",39.07,24.56
18," control ",55.03,16.12
19," control ",59.49,25.88
20," treatment ",53.83,35.58
21," control ",53.72,27.66
22," treatment ",NA,30.72
23," treatment ",58.48,20.94
24," treatment ",37.17,26.8
25," treatment ",61.58,28.54
26," treatment ",40.91,11.08
27," treatment ",53.35,34.32
28," control ",57.76,28.23
29," control ",52.37,20.08
30," treatment ",34.4,23.96
31," treatment ",50.24,13.23
32," control ",53.35,42.97
33," treatment ",59.89,13.07
34," control ",55,29.62
35," treatment ",55.77,28.49
36," control ",61.43,20.13
37," control ",42.93,24.81
38," treatment ",43.81,22.27
39," control ",49.92,37.17
40," treatment ",53.39,20.53
41," treatment ",64.05,44.32
42," treatment ",41.35,28.96
43," treatment ",41.26,16.05
44," control ",57.74,26.58
45," treatment ",45.98,19.12
46," control ",47.85,8.13
47," control ",56.05,42.69
48," control ",43.85,35.09
49," treatment ",42.76,26.22
50," control ",47.43,12.61
51," control ",46.08,27.54
52," control ",43.13,14.35
53," treatment ",58.76,36.28
54," control ",45.19,30.02
55," treatment ",50.68,29.79
56," control ",51.37,24.99
57," control ",31.41,26.18
58," treatment ",53.46,37.95
59," treatment ",65.02,37.38
60," treatment ",49.86,26.95
61," control ",42.25,29.4
62," control ",63.11,31.85
63," control ",52.61,37.63
64," control ",60.14,18.8
65," treatment ",52.16,28.19
66," treatment ",56.13,39.27
67," control ",64.46,25.26
68," control ",56.58,13.83
69," treatment ",53.75,34.03
70," control ",43.25,17.53
71," control ",55.8,23.41
72," control ",45.86,29.49
73," control ",71.81,50.64
74," control ",53.43,26.73
75," control ",42.02,29.39
76," control ",66.41,14.57
77," control ",45.4,23.88
78," treatment ",34.14,7.74
79," control ",39.55,7.2
80," treatment ",50.42,39.43
81," treatment ",45.68,31.86
82," control ",NA,31.44
83," control ",47.71,19.81
84," control ",31.43,7.32
85," treatment ",47.1,30.28
86," control ",67.67,23.03
87," treatment ",NA,45.59
88," treatment ",44.11,26.27
89," treatment ",48.79,30.05
90," control ",66.53,18.98
91," treatment ",41.29,28.67
92," control ",57.81,37.21
93," control ",43.86,25.04
94," treatment ",46.72,27.13
95," control ",46.45,36.1
96," treatment ",57.81,36.87
97," treatment ",56.09,35.51
98," treatment ",60.76,40.83
99," treatment ",60.66,35
100," control ",71.62,58.79
101," treatment ",50.7,31.08
102," control ",24.65,23.45
103," control ",44.59,30.17
104," control ",42.24,27.64
105," control ",47.04,32.26
106," treatment ",61.51,35.41
107," treatment ",44.31,10.24
108," control ",41.94,15.37
109," control ",54.93,45.71
110," control ",57.01,43.17
111," treatment ",47.57,26.15
112," control ",54.12,6.55
113," control ",54.98,20.92
114," treatment ",53.68,17.43
115," control ",44.29,9.29
116," control ",57.39,35.56
117," treatment ",27.32,19.93
118," control ",56.14,38.96
119," control ",54.04,16.01
120," control ",70.52,25.17
121," treatment ",52.63,34.19
122," treatment ",51.1,37.69
123," control ",61.96,28.39
124," treatment ",57.33,23.22
125," control ",49.95,39.81
126," control ",49.79,38.39
127," control ",51.39,34.01
128," control ",39.3,27.24
129," control ",62.36,20.39
130," treatment ",44.6,9.61
131," control ",47.04,40.81
132," treatment ",56.88,33.15
133," treatment ",46.01,19.81
134," treatment ",48.97,39.78
135," control ",65.3,26.2
136," treatment ",43.65,21.78
137," treatment ",47.73,30.64
138," treatment ",65.01,22.84
139," control ",46.58,19.61
140," treatment ",44.46,17.3
141," treatment ",52.58,38.43
142," control ",56.13,30.1
143," control ",43.48,20.08
144," control ",48.62,35.02
145," control ",48.76,24.14
146," control ",40.35,19.42
147," control ",50.19,26.15
148," control ",66.92,26.61
149," treatment ",58.86,32
150," control ",42.7,29.53
151," control ",53.52,28.04
152," treatment ",47.53,40.02
153," control ",48.36,19.6
154," control ",58.72,26.02
155," treatment ",56.06,41.12
156," treatment ",59.27,22.06
157," treatment ",54.58,18.56
158," treatment ",41.99,29.95
159," control ",-999,19.74
160," control ",37.87,12.31
161," treatment ",56.2,23.06
162," treatment ",63.6,39.78
163," control ",33.79,13
164," treatment ",50.8,27.99
165," control ",55.13,20.77
166," treatment ",47.81,30.6
167," control ",41.74,16.37
168," treatment ",39.86,27.55
169," control ",62.82,25.74
170," control ",47.88,39.01
171," treatment ",61.85,35.96
172," treatment ",43.49,10.48
173," treatment ",62.87,44.15
174," control ",55.39,26.56
175," treatment ",50.26,29.92
176," treatment ",61.64,43.77
177," control ",46.32,26.78
178," treatment ",46.37,47.04
179," treatment ",49.93,23.76
180," treatment ",49,30.42
181," treatment ",48.51,31.21
182," control ",48.17,30.6
183," treatment ",41.42,31.22
184," control ",59.58,33.22
185," treatment ",41.61,14.71
186," control ",42.4,18.65
187," control ",41.33,22.1
188," treatment ",66.59,30.68
189," treatment ",55.57,32.8
190," treatment ",56.01,24.03
191," control ",30.3,24.38
192," control ",46.2,25.14
193," treatment ",61.58,37.01
194," control ",63.9,28.78
195," control ",29.88,11.5
196," treatment ",26.64,30.33
197," treatment ",36.32,15.63
198," treatment ",36.27,16.1
199," treatment ",57.37,25.47
200," treatment ",54.55,44.39
201," treatment ",67.77,34.27
202," control ",51.95,34.67
203," control ",46.55,15.4
204," treatment ",66.13,31.06
205," treatment ",57.76,29.83
206," treatment ",57.04,36.08
207," treatment ",60.72,29.86
208," treatment ",47.86,32.72
209," control ",53.64,27.36
210," control ",60.84,30.78
211," treatment ",30.48,37.16
212," treatment ",50.16,22.64
213," control ",41.29,29.32
214," control ",40.99,30.17
215," control ",42.24,35.23
216," control ",53.61,29.04
217," control ",49.83,26.94
218," treatment ",38.82,24.75
219," control ",55.87,33.07
220," control ",54.86,31.83
221," control ",54.74,24.64
222," control ",53.61,33.53
223," treatment ",62.18,37.62
224," treatment ",-999,30.91
225," control ",44.01,45.12
226," control ",57.36,30.16
227," control ",56.02,23.3
228," treatment ",61.09,35.81
229," treatment ",49.89,25.83
230," treatment ",56.05,24.26
231," treatment ",61.24,29.48
232," treatment ",NA,26.06
233," treatment ",67.62,42.83
234," treatment ",42.7,27.94
235," control ",33.66,11.87
236," treatment ",48.76,26.26
237," treatment ",52.04,16.58
238," control ",43.17,20.65
239," treatment ",NA,13.44
240," treatment ",43.29,14.19
15," treatment ",54.42,46.68
202," control ",51.95,34.67
138," treatment ",65.01,22.84
